id,available_qty_change,arriving_qty_change,departing_qty_change,available_qty,arriving_qty,departing_qty,reference_type,reference_id,store_code,product_code,creation_date
193488,0,21,0,12,21,0,STOCK_ADJUSTMENT,1006,IRS,H0160001_S_WN07490,"2023-01-14 15:49:25"
193489,0,32,0,12,53,0,STOCK_ADJUSTMENT,1007,IRS,H0160001_S_WN07490,"2023-01-14 15:49:25"
193490,21,-21,0,33,32,0,STOCK_ADJUSTMENT,1006,IRS,H0160001_S_WN07490,"2023-01-14 15:49:25"
193491,32,-32,0,65,0,0,STOCK_ADJUSTMENT,1007,IRS,H0160001_S_WN07490,"2023-01-14 15:49:25"
193509,53,0,0,65,0,0,DATA_ARCHIVE,"2023-01-14 15:49:25",IRS,H0160001_S_WN07490,"2023-01-14 15:49:25"
