Good Received Note Number,Order Number,POS PO ID,Store,Signed By,Sign Date,Logistics Arrival Date,IMAX Sync Status
MCS1759204043593_IM00072358,IM00072358,10824,MCS,2025-09-30 11:48:10.0,HYTSE,2025-09-30 19:40:58.0,false
MCS1759203321953_IM00072358,IM00072358,10823,MCS,2025-09-30 11:37:25.0,HYTSE,2025-09-30 19:25:22.0,false
MCS1759129442304_IM00072240,IM00072240,10822,MCS,2025-09-29 15:04:10.0,MANHEIC,2025-09-29 23:04:06.0,false
MCS1759115018838_IM00072240,IM00072240,10821,MCS,2025-09-29 11:04:11.0,MANHEIC,2025-09-29 18:53:39.0,false
CLS1613715563299_IM00021922,IM00021922,10816,CLS,2025-09-22 10:26:00.0,SHELDON,,false
CLS1755763912887_IF00071131,IF00071131,10815,CLS,2025-08-21 16:11:55.0,HYTSE,,false
CLS1754626622099_IM00070546,IM00070546,10814,CLS,2025-08-08 12:17:03.0,SHELDON,,false
