posOrderNumber,posReturnNumber,refundAmount,totalRefundValue,refundMethod,transactionDate
ABC0020251005122328,ABC0020251117110003V,178,178,BANK_IN,2025-11-17T11:00:03+08:00
APG0120251005120157,APG0120251117110007V,141.8,141.8,BANK_IN,2025-11-17T11:00:07+08:00
APG0120251005145509,APG0120251117110009V,49.9,49.9,QR_CODE_VOID_TRANSACTION,2025-11-17T11:00:09+08:00
BYM0220251005115320,BYM0220251117110011V,79.9,79.9,BANK_IN,2025-11-17T11:00:11+08:00
BYM0220251005170859,BYM0220251117110013V,80.7,80.7,BANK_IN,2025-11-17T11:00:13+08:00
BYM0220251005195403,BYM0220251117110016V,79.8,79.8,QR_CODE_VOID_TRANSACTION,2025-11-17T11:00:16+08:00
